,ci,lum,tem,logl
20822,0.325,12.6008545908824,-9931.03448275862,2.5337646363306496
20823,0.463,1.46960289897965,-8342.989571263037,0.3849922275486037
20824,1.123,34.8337315036012,-4727.511490479316,3.550586213396819
20825,1.38,36.7790070422386,-4044.9438202247197,3.604927221591477
20826,1.137,29.6210193605276,-4684.450227716331,3.3884842228500363
20827,0.278,28.1838293126445,-10619.469026548672,3.338748384841365
20828,0.838,3.79489706207635,-5815.831987075929,1.3336572858621516
20829,1.649,1513561.24843621,-3513.909224011713,14.229975874703204
20830,0.997,9.349750030886,-5153.901216893343,2.2353496082786193
20831,0.506,3.25087297385434,-7947.019867549669,1.1789235676129504
20832,1.287,15.8489319246111,-4267.931238885596,2.7631021115928527
20833,-0.099,73.6546211470231,-23920.265780730893,4.299386885638482
20834,0.952,56.8067574106772,-5325.443786982249,4.039655287148753
20835,1.017,150.799534180179,-5081.157374735357,5.015951366578229
20836,0.369,12.4623516048651,-9362.808842652796,2.5227122278842735
20837,0.407,15.5596563160507,-8921.93308550186,2.7446814308488996
20838,1.014,68.1710526305853,-5091.937765205092,4.222020026513881
20839,0.741,0.693745213942123,-6310.254163014899,-0.36565051276745486
20840,0.976,0.376703798983909,-5232.5581395348845,-0.976296079429475
20841,1.215,32.4489015660536,-4458.204334365325,3.4796665925326002
20842,0.754,31.9153785510076,-6239.168110918545,3.4630879798630443
20843,0.179,80.8351037390067,-12435.233160621763,4.39241132339544
20844,1.389,0.0511917527999711,-4024.5947456679705,-2.972176838036714
20845,0.12,42.7759831482038,-13846.153846153846,3.7559768036918877
20846,0.465,6.99519781051213,-8323.699421965319,1.9452238865613698
20847,0.295,28.5233151229901,-10359.712230215826,3.350721827324935
20848,0.609,1.38931268173675,-7135.77799801784,0.3288091512795457
20849,1.01,0.0848008098889692,-5106.3829787234035,-2.467450185652419
20850,0.215,20.3985830026856,-11707.317073170732,3.0154654377850014
20851,0.473,3.7119319004414,-8247.422680412372,1.3115524689694074
20852,1.621,61.6595001861482,-3562.592775853538,4.1216273164593416
20853,0.547,6.50429155078801,-7602.956705385427,1.8724621976227576
20854,1.119,13.4400226308216,-4739.960500329164,2.5982370189344786
20855,0.258,685488.226452662,-10942.24924012158,13.43788660271325
20856,0.75,0.766302072273919,-6260.869565217392,-0.2661788367501122
20857,0.105,46.4729241676204,-14257.425742574258,3.8388698670396733
20858,0.961,93.583654358353,-5290.227773695812,4.538855735309863
20859,0.561,4.94766173681676,-7492.195629552549,1.5989150885750647
20860,0.762,22.2024039534508,-6196.213425129088,3.100200569207185
20861,0.089,93.9290651618399,-14723.926380368099,4.542539871458653
20862,0.512,4.2736603149693,-7894.736842105262,1.4524706766606428
20863,1.556,111.480780336384,-3680.9815950920247,4.713852202377408
20864,0.542,7.04044321469975,-7643.312101910828,1.9516711248217526
20865,0.536,4.7206304126359,-7692.3076923076915,1.5519423526779859
20866,1.363,0.0541003406863468,-4083.9478162223486,-2.9169147958048565
20867,0.5,256.33033198659,-8000.0,5.546466972004057
20868,0.466,34.6098725485353,-8314.087759815242,3.544138975136436
20869,0.435,3.01161880307882,-8622.754491017964,1.1024777425255479
20870,1.111,9.349750030886,-4765.056254136333,2.2353496082786193
20871,-0.202,1074.48411664456,-36363.63636363636,6.979595933883555
20872,1.117,73.3162089027211,-4746.209624258405,4.294781715452493
20873,0.721,1.0009214583193,-6422.836752899198,0.0009210340372017553
20874,0.712,2.15179057033975,-6474.820143884892,0.7663003189484165
20875,0.475,20.304860027168,-8228.57142857143,3.010860267599012
20876,1.108,24.2996489770323,-4774.535809018567,3.1904619048525498
20877,0.204,5.35056938173137,-11920.529801324503,1.6772029817368628
20878,0.224,18.3484760775554,-11538.461538461539,2.9095465235072764
20879,1.49,229.932308702122,-3809.523809523809,5.437784955614736
20880,1.212,36.0744733864192,-4466.501240694789,3.585585506810329
20881,0.58,1.82641724877435,-7346.938775510204,0.6023562603272401
20882,-0.016,33.3272899576138,-18750.0,3.5063765796113335
20883,1.062,46.2168136092245,-4924.760601915184,3.833343662816488
20884,0.526,2.51651776161464,-7775.377969762419,0.9228761052720122
20885,0.441,2.16970155380085,-8561.236623067776,0.7745896252831957
20886,0.528,3.16519156722626,-7758.620689655172,1.1522135805342189
20887,0.208,78.3429642766212,-11842.105263157895,4.361096166130723
20888,0.434,4.30526610491711,-8633.093525179855,1.4598389489582257
20889,1.068,69.7589604332805,-4904.632152588556,4.245045877443824
20890,0.912,1.65805907510892,-5487.804878048781,0.5056476864214939
20891,0.025,17.9969951657736,-16941.176470588234,2.8902048087261276
20892,,15.4312106565779,,2.7363921245141225
20893,1.119,45.1647904929112,-4739.960500329164,3.810317811886547
20894,0.977,12.7997061670518,-5228.75816993464,2.5494222149630072
20895,0.506,4.36113971393065,-7947.019867549669,1.4727334254789926
20896,0.891,1905460.71796325,-5577.072037180481,14.460234384002609
20897,0.451,3.25986788904468,-8460.63454759107,1.1816866697245427
20898,0.766,0.678578350950407,-6174.957118353345,-0.38775532966019766
20899,1.56,88.0643228418064,-3673.469387755102,4.47806748885482
20900,0.831,0.402531618974212,-5848.903330625509,-0.9099816287512463
20901,1.216,14.1905752168909,-4455.445544554455,2.652578027129139
20902,1.236,96.2941712971556,-4400.9779951100245,4.5674077904629895
20903,0.051,29.0536031430315,-15964.523281596452,3.3691425080688884
20904,1.189,19.3909907861485,-4531.151667715544,2.9648085657391334
20905,0.758,2.98126100817225,-6217.616580310882,1.0923463681163763
20906,0.125,21.0087396924099,-13714.285714285714,3.0449385269753257
20907,1.74,114.287833478977,-3364.485981308411,4.7387201213817445
20908,0.562,2.1817249589883,-7484.407484407484,0.7801158295063827
20909,0.576,8.61390345772428,-7377.049180327869,2.153377578968031
20910,1.508,95.7634976969268,-3773.5849056603774,4.561881586239802
20911,1.957,3019951.72040202,-3054.730589732711,14.920751402601418
20912,0.086,91.8755601666062,-14814.814814814816,4.52043505456591
20913,0.49,1.71237942124493,-8089.887640449438,0.5378838777234102
20914,1.278,35.7437406264481,-4290.8224076281285,3.576375166438352
20915,1.039,42.3447916169207,-5003.4746351633075,3.7458454292827126
20916,1.088,0.297851642942919,-4838.709677419355,-1.211159758914868
20917,0.646,0.0357766769936111,-6883.365200764818,-3.330459078506587
20918,0.098,2.64728074001756,-14457.831325301206,0.9735329773178815
20919,0.57,2.47514131807431,-7422.6804123711345,0.9062974926024552
20920,0.24,50.3964563612643,-11250.0,3.9199208623130635
20921,1.219,42.2279501306057,-4447.189623224212,3.743082327171122
20922,0.486,8.65366342956348,-8126.410835214447,2.1579827491540193
20923,1.666,115.451611692143,-3484.995159728945,4.74885149579092
20924,0.264,8.28705077906982,-10843.373493975903,2.1146941494057305
20925,1.158,1629296.03263972,-4621.309370988447,14.30365859767901
20926,0.299,20.3422974321173,-10300.429184549355,3.0127023356734104
20927,1.532,3221068.79128343,-3726.708074534162,14.985223785205248
20928,0.865,0.338532212815354,-5691.699604743082,-1.0831360277443998
20929,0.188,15.9367588102877,-12244.897959183672,2.7686283158160423
20930,0.501,2.6865813772687,-7991.120976692564,0.988269521913044
20931,0.855,50.1649056773223,-5737.051792828685,3.9153156921270753
20932,1.607,26.3754574088934,-3587.4439461883408,3.272433934163136
20933,0.645,1.57325818544647,-6889.952153110048,0.4531487463012295
20934,1.038,32.0922376804843,-5006.954102920723,3.468614184086229
20935,0.725,12.0337227118268,-6400.0,2.487712934470763
20936,1.367,2187761.62394955,-4074.702886247878,14.598389489582248
20937,0.446,14.4410908441612,-8510.63829787234,2.6700776738358942
20938,0.574,6.46249172495388,-7392.197125256674,1.8660149593623745
20939,,337287.308658869,,12.728690394071085
20940,1.122,28.4184246806359,-4730.617608409986,3.3470376911761446
20941,1.704,1086425.62361707,-3422.053231939163,13.898403621312063
20942,1.822,294.849231389437,-3240.3240324032404,5.686464145658096
20943,0.512,1.18686138464492,-7894.736842105262,0.17131233091875728
20944,0.324,10.725066656157,-9944.75138121547,2.3725836798210613
20945,1.529,85.9805066661174,-3732.5038880248835,4.454120603887682
20946,1.001,58.4520840358855,-5139.186295503213,4.068207342301879
20947,0.711,1.97151461099659,-6480.648064806481,0.6788020854146463
20948,0.595,1.46419864293528,-7236.180904522613,0.3813080913998159
20949,0.6,0.0116091387012618,-7200.0,-4.455962671962079
20950,0.196,17.4100492635261,-12080.536912751677,2.8570475833870135
20951,1.036,27.2646545852901,-5013.927576601672,3.3055911595022534
20952,0.427,5.85598559849288,-8706.166868198308,1.7674643173822295
20953,1.08,56.5978586242696,-4864.864864864865,4.035971150999963
20954,1.378,26.7423765708899,-4049.493813273341,3.2862494447211015
20955,1.364,0.0523841619027791,-4081.632653061224,-2.9491509871067736
20956,1.216,38.264848659511,-4455.445544554455,3.644531685190977
20957,0.47,2.81838293126445,-8275.862068965518,1.0361632918473194
20958,1.496,280.285092764669,-3797.46835443038,5.635807273612227
20959,0.722,3.22403687191819,-6417.112299465241,1.1706342612781737
20960,1.478,1527566.05823807,-3833.8658146964854,14.239186215075177
20961,0.089,66.6192900223455,-14723.926380368099,4.198994175583941
20962,0.39,85.9013521505396,-9113.924050632912,4.453199569850485
20963,0.377,42.933866347043,-9266.409266409266,3.759660939840677
20964,1.641,83.3297348634316,-3527.6825085742285,4.422805446622962
20965,1.613,32.6287172143085,-3576.7511177347246,3.4851927967557876
20966,1.032,3.05351459394029,-5027.932960893855,1.1162932530835135
20967,1.135,23.078097296984,-4690.553745928339,3.1388839987694817
20968,0.67,10.1018287054483,-6728.971962616822,2.3127164674032166
20969,0.015,17.3141031289015,-17349.397590361445,2.851521379163824
20970,1.372,9.41022483526751,-4063.205417607223,2.241796846539003
20971,0.739,6.68651772197639,-6321.334503950834,1.9000932187386863
20972,0.497,9.26403100736399,-8026.755852842809,2.226139267906643
20973,0.016,21.3010003741125,-17307.692307692305,3.05875403753329
20974,0.978,26.254273189937,-5224.963715529753,3.2678287639771497
20975,0.988,25.9896242110866,-5187.319884726226,3.257697389567974
20976,0.403,10.3086074006263,-8966.37608966376,2.3329792162215712
20977,0.631,1018591.38805412,-6983.5111542192035,13.83393123870823
20978,0.17,19.8975681109066,-12631.57894736842,2.990597518780668
20979,0.81,0.858222705054015,-5950.4132231404965,-0.15289165017480474
20980,0.537,3.15064883297239,-7684.098185699039,1.1476084103482311
20981,0.166,20.6062991327,-12720.848056537101,3.0255968121941756
20982,1.054,21.0474748865598,-4951.856946354883,3.0467805950497233
20983,0.399,7.25771650267428,-9011.264080100125,1.9820652480492744
20984,0.714,4.11907784867737,-6463.195691202874,1.415629315172738
20985,0.263,12.3140241220622,-10859.728506787329,2.51073878540071
20986,0.324,17.8648757485205,-9944.75138121547,2.882836536428545
20987,-0.026,38.904514499428,-19251.336898395723,3.661110297860531
20988,0.258,11.3972480401975,-10942.24924012158,2.4333719262761084
20989,0.989,0.607015806341044,-5183.585313174946,-0.4992004481611096
20990,1.337,142.955214003704,-4145.077720207254,4.962531392420771
20991,1.005,52.7229861422823,-5124.555160142349,3.965051530135747
20992,1.3,41.2667246322936,-4235.294117647059,3.72005647624118
20993,0.254,21.2617985986252,-11009.174311926605,3.056911969458894
20994,1.449,5199959.96533516,-3893.9967550027036,15.464161484548011
20995,1.075,1555965.63160507,-4881.35593220339,14.257606895819128
20996,0.87,8.72569442770116,-5669.291338582677,2.1662720554887978
20997,0.731,4.92492929605027,-6366.04774535809,1.5943099183890772
20998,0.152,7.59276572646525,-13043.478260869564,2.027195915871957
20999,0.233,21.1446256165259,-11374.40758293839,3.051385765235709
21000,1.12,79.0678627999824,-4736.8421052631575,4.370306506502697
21001,0.879,20.2488330653056,-5629.397967161845,3.0080971654874213
21002,0.428,3.77050915833393,-8695.652173913042,1.327210047601768
21003,0.219,55.36049950434,-11631.663974151857,4.01386633410722
21004,1.453,29.0268561049905,-3885.5909336211544,3.368221474031689
21005,0.51,3.69487712253932,-7912.087912087912,1.3069472987834196
21006,1.673,176.3599633898,-3473.2272069464543,5.172527152901827
21007,0.181,162.480033522732,-12392.426850258176,5.090555123591236
21008,1.959,86.2184081072701,-3052.140737600678,4.4568837059992745
21009,-0.194,380.890376498135,-34951.45631067961,5.942511607999033
21010,0.203,11.7598017406585,-11940.298507462687,2.464687083540827
21011,1.054,29.5120922666639,-4951.856946354883,3.3848000867012487
21012,0.393,32.2700768751553,-9079.445145018915,3.474140388309415
21013,1.265,41.1149721104522,-4324.324324324324,3.716372340092389
21014,0.544,8.13579505605396,-7627.118644067796,2.0962734686617788
21015,0.472,2.68410808354523,-8256.880733944954,0.9873484878758471
21016,1.082,19.1778536448265,-4858.2995951417,2.95375615729276
21017,0.227,19.9526231496888,-11483.253588516747,2.99336062089226
21018,0.634,0.853493071613548,-6963.249516441006,-0.15841785439799103
21019,0.575,1.44810482305137,-7384.615384615385,0.37025568295344063
21020,1.025,35.8426408043714,-5052.631578947369,3.5791382685499435
21021,0.639,2.14783047413053,-6929.740134744946,0.7644582508740213
21022,0.208,21.359938601898,-11842.105263157895,3.0615171396448853
